stop_name,parent_station,stop_id
François Mitterrand,FMIT,FMIT1
François Mitterrand,FMIT,FMIT2
François Mitterrand,FMIT,FMIT4
François Mitterrand,FMIT,FMIT5
François Mitterrand,FMIT,FMIT7
Tourmaline,TMLI,TMLI1
Tourmaline,TMLI,TMLI2
Schoelcher,SECH,SECH1
Schoelcher,SECH,SECH2
Frachon,FRAC,FRAC1
Frachon,FRAC,FRAC2
Néruda,NRDA,NRDA1
Néruda,NRDA,NRDA2
Néruda,NRDA,NRDA3
Néruda,NRDA,NRDA4
Néruda,NRDA,NRDA5
Néruda,NRDA,NRDA6
Tertre,TENA,TENA1
Tertre,TENA,TENA2
Tertre,TENA,TENA3
Tertre,TENA,TENA4
Tertre,TENA,TENA5
Tertre,TENA,TENA6
Romanet,RMNE,RMNE1
Romanet,RMNE,RMNE2
Romanet,RMNE,RMNE3
Romanet,RMNE,RMNE4
Romanet,RMNE,RMNE6
Mendès-France-Bellevue,BLVU,BLVU1
Mendès-France-Bellevue,BLVU,BLVU2
Mendès-France-Bellevue,BLVU,BLVU3
Mendès-France-Bellevue,BLVU,BLVU4
Mendès-France-Bellevue,BLVU,BLVU5
Mendès-France-Bellevue,BLVU,BLVU6
Mendès-France-Bellevue,BLVU,BLVU7
Romain Rolland,RROL,RROL1
Romain Rolland,RROL,RROL2
Lauriers,LAUR,LAUR1
Lauriers,LAUR,LAUR2
Jean Moulin,JMLI,JMLI1
Jean Moulin,JMLI,JMLI2
Jean Moulin,JMLI,JMLI3
Jean Moulin,JMLI,JMLI4
Croix Bonneau,XBON,XBON1
Croix Bonneau,XBON,XBON2
Croix Bonneau,XBON,XBON3
Croix Bonneau,XBON,XBON4
Croix Bonneau,XBON,XBON5
Egalité,EGLI,EGLI1
Egalité,EGLI,EGLI2
Egalité,EGLI,EGLI3
Egalité,EGLI,EGLI4
Du Chaffault,DCFF,DCFF1
Du Chaffault,DCFF,DCFF2
Gare Maritime,GMAR,GMA99
Gare Maritime,GMAR,GMAR1
Gare Maritime,GMAR,GMAR2
Gare Maritime,GMAR,GMAR3
Gare Maritime,GMAR,GMAR9
Chantiers Navals,CNAV,CNAV1
Chantiers Navals,CNAV,CNAV2
Chantiers Navals,CNAV,CNAV4
Médiathèque,MDTH,MDTH1
Médiathèque,MDTH,MDTH2
Commerce,COMM,COMA4
Commerce,COMM,COMA6
Commerce,COMM,COMA8
Commerce,COMM,COMB2
Commerce,COMM,COMC1
Commerce,COMM,COMD2
Commerce,COMM,COMD3
Commerce,COMM,COMD4
Commerce,COMM,COMD5
Commerce,COMM,COMD6
Commerce,COMM,COME1
Commerce,COMM,COME2
Commerce,COMM,COME3
Commerce,COMM,COMF1
Bouffay,BOFA,BOFA1
Bouffay,BOFA,BOFA2
Duchesse Anne-Chateau,DCAN,DCAN1
Duchesse Anne-Chateau,DCAN,DCAN2
Duchesse Anne-Chateau,DCAN,DCAN3
Duchesse Anne-Chateau,DCAN,DCAN4
Gare SNCF Nord,GSNO,GSNO1
Gare SNCF Nord,GSNO,GSNO2
Gare SNCF Nord,GSNO,GSNO3
Gare SNCF Nord,GSNO,GSNO4
Manufacture,MNFA,MNFA1
Manufacture,MNFA,MNFA2
Manufacture,MNFA,MNFA3
Manufacture,MNFA,MNFA4
Moutonnerie,MOUT,MOUT1
Moutonnerie,MOUT,MOUT2
Moutonnerie,MOUT,MOUT3
Moutonnerie,MOUT,MOUT4
Hôpital Bellier,HBLI,HBLI1
Hôpital Bellier,HBLI,HBLI2
Bd de Doulon,BDOU,BDOU1
Bd de Doulon,BDOU,BDOU2
Bd de Doulon,BDOU,BDOU3
Bd de Doulon,BDOU,BDOU7
Mairie de Doulon,MDOU,MDOU1
Mairie de Doulon,MDOU,MDOU2
Mairie de Doulon,MDOU,MDOU3
Mairie de Doulon,MDOU,MDOU4
Landreau,LDRE,LDRE1
Landreau,LDRE,LDRE2
Landreau,LDRE,LDRE3
Landreau,LDRE,LDRE4
Souillarderie,SOUI,SOUI1
Souillarderie,SOUI,SOUI2
Souillarderie,SOUI,SOUI4
Souillarderie,SOUI,SOUI5
Pin Sec,PISE,PISE1
Pin Sec,PISE,PISE2
Pin Sec,PISE,PISE3
Pin Sec,PISE,PISE4
Haluchère-Batignolles,HALU,HAL99
Haluchère-Batignolles,HALU,HALA1
Haluchère-Batignolles,HALU,HALA2
Haluchère-Batignolles,HALU,HALA4
Haluchère-Batignolles,HALU,HALD1
Haluchère-Batignolles,HALU,HALE2
Haluchère-Batignolles,HALU,HALF1
Haluchère-Batignolles,HALU,HALF2
Haluchère-Batignolles,HALU,HALF3
Haluchère-Batignolles,HALU,HALG1
Halvêque,HAVE,HAVE1
Halvêque,HAVE,HAVE2
Halvêque,HAVE,HAVE3
Halvêque,HAVE,HAVE4
Ranzay,RAZA,RAZA1
Ranzay,RAZA,RAZA2
Ranzay,RAZA,RAZA3
Ranzay,RAZA,RAZA4
Ranzay,RAZA,RAZA5
Beaujoire,BJOI,BJOI1
Beaujoire,BJOI,BJOI2
Beaujoire,BJOI,BJOI6
Beaujoire,BJOI,BJOI7
